id;name;price;count;disc;description;img;category_id
1;Монитор;2340;10;10;Монитор Монитор Монитор Монитор Монитор Монитор Монитор Монитор Монитор Монитор Монитор Монитор Монитор Монитор Монитор Монитор Монитор Монитор  ;monitor.jpg;2
2;Компьютер;4950;5;10;Компьютер Компьютер Компьютер Компьютер Компьютер Компьютер Компьютер Компьютер Компьютер ;computer.jpg;1
3;Ноутбук;6930;2;10;Ноутбук Ноутбук Ноутбук Ноутбук Ноутбук Ноутбук Ноутбук Ноутбук ;notebook.jpg;1
4;Принтер;1800;1;10;Принтер Принтер Принтер Принтер Принтер Принтер Принтер Принтер ;printer.jpg;1
5;Стол;нет в наличии;0;20;Стол Стол Стол Стол Стол Стол Стол Стол Стол Стол Стол ;Noimage.png;5
6;Стул;нет в наличии;0;20;Стул Стул Стул Стул Стул Стул Стул Стул Стул Стул Стул ;Noimage.png;5
7;Шкаф;1008;8;20;Шкаф Шкаф Шкаф Шкаф Шкаф Шкаф Шкаф Шкаф Шкаф Шкаф Шкаф Шкаф ;wardrobe.jpg;5
8;Кресло;3400;9;20;Кресло Кресло Кресло Кресло Кресло Кресло Кресло Кресло Кресло ;armchair.jpg;5
9;Диван;9800;1;30;Диван Диван Диван Диван Диван Диван Диван Диван Диван Диван Диван Диван ;Noimage.png;5
11;Телевизор Sony KDL43WF805BR Black;16625;65;5;Телевизор      Диагональ экрана: 43;11.jpg;11
12;Телевизор Sony KD43WF665BR;11700;25;10;     Диагональ экрана: 43;sony_kd43wf665br_images_10318492587.jpg;11
13;Телевизор Toshiba 40L2863DG SMART FHD;7410;15;5;     Диагональ экрана: 40;toshiba_40l2863dg_images_8518719039.jpg;11
14;Телевизор Sony KD65AF8BR2 Black;128249.05;24;5;Диагональ экрана: 65;14.jpg;11
15;Телевизор Samsung UE43N5000AUXUA;8550;15;5;Диагональ экрана: 43;samsung_ue43n5000auxua_images_10317062013.jpg;11
16;Canon EOS 77D Body Black;17631;55;10;Матрица CMOS 22.3 x 14.9 мм, 24.2 Мп / поддержка карт памяти SD/SDHC/SDXC / LCD-дисплей 3;canon_1892c020aa_images_2350438097.jpg;9
17;Цепная пила Makita EA3203S40B;5850;5;10;Тип: Бензиновые     Мощность: 1.9 л.с.     Особенности: Блокировка кнопки включения, Автоматическая смазка цепи, Тормоз цепи     Автоматическая смазка цепи: Есть     Мощность: 1.4 кВт;makita_ea3203s40b_images_6152382056.jpg;6
